Date,Day,Event Name,Session Type,Venue,Address,Surface,Timezone,First Race Time,Number of Races,Special Event,Status,Official Source URL,Programme Summary
2026-09-09,Wednesday,🏇 Happy Valley Season Opening,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,19:05,8,,CONFIRMED,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20260909,1. 19:05 1200m Class 5; 2. 19:35 1650m Class 4; 3. 20:05 1200m Class 5; 4. 20:35 1650m Class 4; 5. 21:10 1650m Class 3; 6. 21:45 1000m Class 4; 7. 22:15 1200m Class 4; 8. 22:50 1200m Class 3
2026-09-16,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,8,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20260916,"2x1000m, 3x1200m, 2x1650m, 1x1800m"
2026-09-23,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,8,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20260923,"1x1000m, 3x1200m, 3x1650m, 1x1800m"
2026-10-07,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,9,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20261007,"1x1000m, 4x1200m, 3x1650m, 1x1800m"
2026-10-14,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,9,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20261014,"4x1200m, 3x1650m, 2x1800m"
2026-10-21,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,9,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20261021,"2x1000m, 4x1200m, 3x1650m"
2026-11-01,Sunday,🏇 Happy Valley — Day Race Meeting,Day Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 13:00 HKT — To be confirmed by HKJC,10,Only Happy Valley day meeting of the season,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20261101,"2x1000m, 5x1200m, 2x1650m, 1x1800m"
2026-11-04,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,9,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20261104,"1x1000m, 4x1200m, 4x1650m"
2026-11-11,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,9,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20261111,"4x1200m, 4x1650m, 1x1800m"
2026-11-18,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,9,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20261118,"2x1000m, 4x1200m, 2x1650m, 1x2200m"
2026-11-25,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,9,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20261125,"5x1200m, 3x1650m, 1x1800m"
2026-12-02,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,8,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20261202,"2x1000m, 3x1200m, 2x1800m, 1x2200m"
2026-12-09,Wednesday,🏇 Happy Valley — LONGINES International Jockeys' Championship,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,9,LONGINES IJC,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20261209,"1x1000m, 4x1200m, 3x1650m, 1x1800m"
2026-12-16,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,9,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20261216,"2x1000m, 3x1200m, 2x1650m, 1x1800m, 1x2200m"
2026-12-23,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,9,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20261223,"4x1200m, 4x1650m, 1x2200m"
2027-01-06,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,Not yet published,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20270106,
2027-01-13,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,Not yet published,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20270113,
2027-01-20,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,Not yet published,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20270120,
2027-01-27,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,Not yet published,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20270127,
2027-02-03,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,Not yet published,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20270203,
2027-02-11,Thursday,🏇 Happy Valley — Special Thursday Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,Not yet published,Special Thursday meeting after Chinese New Year,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20270211,
2027-02-17,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,Not yet published,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20270217,
2027-02-24,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,Not yet published,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20270224,
2027-03-03,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,Not yet published,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20270303,
2027-03-17,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,Not yet published,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20270317,
2027-03-24,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,Not yet published,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20270324,
2027-03-31,Wednesday,🏇 Happy Valley Race Meeting,Night Race Meeting,Happy Valley Racecourse,"Wong Nai Chung Road, Happy Valley, Hong Kong",Turf,Asia/Hong_Kong,Provisional placeholder 19:00 HKT — To be confirmed by HKJC,Not yet published,,TENTATIVE,https://www.hkjc.com/english/racinginfo/racing_cal.asp?d=20270331,
